city,state,country,shape,duration (seconds),duration (hours/min),date posted,latitude,longitude,date,time
prescott valley,az,United States,other,300.0,hours,10/10/2011,34.61,-112.315,10/10/2011,02:00
ashville,ny,United States,circle,60.0,1 minute,10/19/2011,42.0963889,-79.3758333,10/10/2011,10:30
epsom (surrey) (uk/england),,United Kingdom,oval,300.0,5 mins,12/12/2011,51.316667,-0.266667,10/10/2011,14:00
north kingstown,ri,United States,oval,40.0,40 sec,10/25/2011,41.55,-71.4666667,10/10/2011,14:30
groton,ct,United States,disk,5.0,less than 5 seconds,10/10/2011,41.35,-72.0788889,10/10/2011,15:00
peabody-saugus,ma,United States,flash,2700.0,45 minutes,10/19/2011,42.468164,-71.014118,10/10/2011,18:15
mechanicsville,va,United States,light,300.0,5 minutes,10/19/2011,37.6086111,-77.3736111,10/10/2011,19:00
murfeesboro/smyrna,tn,United States,,2700.0,30-45 minutes,10/19/2011,35.947474,-86.488367,10/10/2011,19:30
hamilton (canada),on,Canada,flash,4.0,2-4 seconds,10/19/2011,43.25,-79.833333,10/10/2011,20:00
middletown,ct,United States,fireball,1200.0,15-20 minutes,10/19/2011,41.5622222,-72.6511111,10/10/2011,20:00
lakewood,oh,United States,fireball,60.0,1 minute,12/12/2011,41.4819444,-81.7983333,10/10/2011,21:00
york,pa,United States,circle,15.0,15 seconds,10/19/2011,39.9625,-76.7280556,10/10/2011,21:00
north platte,ne,United States,circle,3.0,3 seconds,12/12/2011,41.1238889,-100.765,10/10/2011,21:55
waynesville,oh,United States,triangle,90.0,1:30,10/19/2011,39.5297222,-84.0866667,10/10/2011,23:00
bridgeport,ct,United States,circle,630.0,10:30,10/30/2012,41.1669444,-73.2052778,10/10/2012,10:15
san francisco airport,ca,United States,triangle,300.0,5 minutes,9/30/2013,37.615223,-122.389979,10/10/2012,15:00
